Label;Type;Tags;Description;Trial ID;Base Model;Model Configuration;Analysis prompt;Text;Temperature;[Engineer];Timestamp
RGAT;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
Attention networks;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
semantic connections;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
relationship importance;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
weights;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
interpretable weights;;;;4;BERT;RGAT;Test attention-based graph processing;Attention networks focus on relevant semantic connections. RGAT provides interpretable relationship importance weights.;0.8;;2025-06-10T21:17:07.821986
entities and relations;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
CompGCN models;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
unified space;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
attention mechanisms;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
models;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
Deep learning architectures;;;;3;BERT;COMPGCN;Evaluate composition-based GNN approach;Deep learning architectures utilize attention mechanisms. CompGCN models jointly embed entities and relations in unified space.;1.2;;2025-06-10T21:17:07.821980
RGCN models;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
Researchers;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
improved performance;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
heterogeneous graphs;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
models;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
graph neural networks;;;;2;BERT;RGCN;Compare RGCN enhancement to baseline;Researchers analyzed graph neural networks for relationship extraction. RGCN models demonstrated improved performance on heterogeneous graphs.;1.0;;2025-06-10T21:17:07.821961
experiments;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
Scientists;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
promising results;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
data;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
algorithms;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
Machine learning algorithms;;;;1;BERT;None;Extract semantic relationships from scientific text;Scientists conducted experiments on neural networks. Machine learning algorithms showed promising results in data processing tasks.;1.0;;2025-06-10T21:17:07.818328
